Date,Close/Last,Volume,Open,High,Low
04/21/2021,$753.8025,676,$759.525,$769.05,$750
04/20/2021,$730.465,1059,$744,$744,$729
04/19/2021,$753.5,1568,$759.65,$759.7577,$747.26
04/16/2021,$759.85,769,$750.075,$760,$747
04/15/2021,$736.08,1005,$737.34,$744.32,$730
04/14/2021,$733.52,913,$733.73,$735.561,$727.92
04/13/2021,$745.5,1394,$706.4,$745.5,$706.4
04/12/2021,$707.46,549,$704,$721.55,$682.35
04/09/2021,$705,526,$708,$713.95,$695.96
04/08/2021,$703,846,$699.95,$703.96,$694.2
04/07/2021,$689.99,451,$689.99,$689.99,$678
04/06/2021,$680,706,$687.95,$687.95,$680
04/05/2021,$689.03,885,$677.71,$689.25,$677.71
04/01/2021,$677.96,558,$675.85,$689.25,$665.9
03/31/2021,$668.75,1141,$671.56,$671.56,$662.72
03/30/2021,$671.69,951,$664.525,$675.6,$660.08
03/29/2021,$657,1355,$658.9,$660,$652.47
03/26/2021,$657.92,486,$659.2,$660,$651.03
03/25/2021,$654.25,714,$640,$660,$640
03/24/2021,$652.22,511,$648.88,$674.45,$648.88
03/23/2021,$666.27,726,$663.6,$666.35,$657
03/22/2021,$662.4,487,$664,$674.65,$662.08
03/19/2021,$662.08,1258,$665.03,$678.92,$656.32
03/18/2021,$676.4,1354,$682.96,$687,$670
03/17/2021,$686.91,1967,$672.215,$686.99,$672.215
03/16/2021,$670.92,2419,$661.5,$670.92,$661.5
03/15/2021,$669.925,1640,$672.7,$672.7,$659.12
03/12/2021,$679,905,$675.45,$679.5,$669.05
03/11/2021,$679.99,1047,$668.5,$680,$665
03/10/2021,$660.08,1113,$657.99,$664,$654.37
03/09/2021,$649.4,394,$647.15,$649.5,$641.48
03/08/2021,$638.92,398,$623.5,$648.75,$623.5
03/05/2021,$639.02,795,$640.75,$640.75,$621.9
03/04/2021,$638.27,1047,$655,$655,$633.36
03/03/2021,$655.08,778,$660,$660,$650
03/02/2021,$652.08,723,$650,$658.8,$645.15
03/01/2021,$650.5,846,$642,$651.73,$638.9
02/26/2021,$642,1656,$650.12,$650.12,$630
02/25/2021,$649,1144,$650.54,$655.5,$636.36
02/24/2021,$649.01,1416,$660,$665.45,$644.04
02/23/2021,$653,2373,$668.15,$668.45,$647.14
02/22/2021,$665.92,1484,$659,$671.44,$655
02/19/2021,$657,842,$673.85,$673.85,$650.58
02/18/2021,$650.5,302,$663.5,$663.5,$643.4942
02/17/2021,$652.92,707,$654.5,$656.25,$643.0683
02/16/2021,$654.67,2427,$646,$656.87,$641.46
02/12/2021,$639.13,764,$644.34,$646.92,$637.59
02/11/2021,$648.92,1407,$645,$648.92,$639.35
02/10/2021,$644.2,1457,$653.7,$653.7,$640.5
02/09/2021,$653.6,2405,$645.8,$654.98,$645.8
02/08/2021,$636,1005,$644.3,$644.3,$632.63
02/05/2021,$637.91,1151,$640,$640.23,$625.32
02/04/2021,$631.9,771,$630.75,$631.9,$623.17
02/03/2021,$636.92,1185,$637,$637.97,$628.21
02/02/2021,$635,1717,$624.5,$635.5,$621.55
02/01/2021,$616.84,419,$608.15,$626.4,$605.98
01/29/2021,$604.7,1555,$611,$617.48,$601
01/28/2021,$624.2,861,$627,$631.65,$611
01/27/2021,$611.36,1643,$618,$618,$598.747
01/26/2021,$626,1349,$624,$635,$616
01/25/2021,$617,2034,$620,$620,$607.61
01/22/2021,$629,2375,$620,$629,$618.5355
01/21/2021,$620,784,$622,$624.65,$617.75
01/20/2021,$616.66,1476,$600,$623.85,$600
01/19/2021,$598.57,3505,$600.04,$602,$591.8926
01/15/2021,$600.04,1831,$605.25,$605.25,$595.2
01/14/2021,$621.36,816,$623,$623,$616.47
01/13/2021,$624.62,1437,$625,$626,$620.65
01/12/2021,$631.12,432,$631.3,$631.96,$623.63
01/11/2021,$633.04,1090,$633.35,$636.93,$628.8
01/08/2021,$642.01,1256,$642.75,$646.12,$636.7444
01/07/2021,$633,932,$631,$636.91,$625.75
01/06/2021,$621.25,1236,$615,$622.7264,$614.51
01/05/2021,$624.295,1244,$622,$627,$617.25
01/04/2021,$625.806,1071,$634,$639.5,$620
12/31/2020,$626,825,$630,$632,$620.11
12/30/2020,$630,1576,$634.2,$634.95,$629.79
12/29/2020,$631,2641,$625.3,$633.1191,$624.35
12/28/2020,$618.46,2177,$603,$632.2,$602
12/24/2020,$602.04,157,$602,$632.2,$602
12/23/2020,$603.19,236,$606.3,$608.61,$600.69
12/22/2020,$598.2,1526,$602.25,$603.7,$596.37
12/21/2020,$608.51,903,$602.1,$608.55,$593.0659
12/18/2020,$607.96,742,$613.65,$619.96,$607.75
12/17/2020,$616.36,2560,$620,$623.31,$614
12/16/2020,$619.81,1088,$616,$619.85,$611.5
12/15/2020,$616.1,801,$623.99,$624,$615.6
12/14/2020,$616.96,3447,$615.9,$621.77,$615.9
12/11/2020,$609.77,608,$604.7,$612.9357,$602.95
12/10/2020,$610.36,2450,$600.9,$610.36,$600.9
12/09/2020,$598.69,1726,$599.9,$603.55,$598.65
12/08/2020,$602,442,$599.02,$604.71,$596.4
12/07/2020,$597.75,2382,$596.1,$600.7,$590.65
12/04/2020,$597.7,797,$598.05,$600,$595.625
12/03/2020,$605,278,$608.15,$608.51,$602.55
12/02/2020,$604.36,493,$600.5,$604.4,$595.79
12/01/2020,$598.79,5730,$592.4,$605.47,$588.49
11/30/2020,$578.55,3772,$593.3,$596.4,$578.55
11/27/2020,$591.96,916,$592.04,$594.94,$590
11/25/2020,$592.04,526,$589.3,$594,$588.44
11/24/2020,$590.05,469,$589.35,$591.25,$583.95
11/23/2020,$584.04,33969,$589.95,$594.4,$580.43
11/20/2020,$586,2156,$581.05,$587.46,$581.05
11/19/2020,$580.08,369,$573.85,$584.43,$573.85
11/18/2020,$574.29,475,$572.85,$578.8,$572.85
11/17/2020,$572,1466,$563.979,$572.16,$560.45
11/16/2020,$561.6,1351,$565,$569.95,$561.07
11/13/2020,$559.96,353,$556,$559.96,$553
11/12/2020,$556,1567,$557.25,$562.1,$552.77
11/11/2020,$575.465,695,$569.25,$578.2,$564.2
11/10/2020,$558.5,775,$555,$565,$555
11/09/2020,$545,3955,$566,$566,$545
11/06/2020,$515.35,477,$518.9,$521.55,$512.39
11/05/2020,$517.05,926,$514.8,$517.25,$510
11/04/2020,$493.03,441,$485.7,$496.25,$485.7
11/03/2020,$481.1,463,$475.45,$481.1,$475.45
11/02/2020,$474.95,878,$470,$475.65,$469.55
10/30/2020,$466.04,1135,$473.69,$474.3,$466.04
10/29/2020,$475,2287,$466.9,$477.5,$466.9
10/28/2020,$471.475,1221,$469.65,$474.86,$464.66
10/27/2020,$491.11,1064,$498.6,$499.96,$491.11
10/26/2020,$495.25,465,$504.15,$504.15,$495.04
10/23/2020,$502.09,199,$504.55,$508.49,$502.04
10/22/2020,$504.96,236,$507.75,$509.21,$500
10/21/2020,$509.01,407,$509.8,$511.45,$505.5
10/20/2020,$513.07,1788,$509.17,$514.55,$506.53
10/19/2020,$505.5,1690,$509.57,$513.57,$505.5
10/16/2020,$510.8,1800,$503.19,$511.36,$503.15
10/15/2020,$500,811,$472.15,$500,$465.08
10/14/2020,$484.125,413,$486.62,$488.1,$480.12
10/13/2020,$492.46,186,$486.62,$492.46,$486.62
10/12/2020,$496.45,565,$494.11,$496.95,$490
10/09/2020,$488.21,965,$484.85,$490.08,$482.1
10/08/2020,$480.04,664,$475.6,$481.85,$475.6
10/07/2020,$484.96,190,$479.5,$485,$479
10/06/2020,$477.13,634,$485.4,$488.16,$477.13
10/05/2020,$488.89,580,$482.1,$488.89,$482.1
10/02/2020,$477.6,777,$474.85,$480.87,$473.19
10/01/2020,$482.56,176,$482.7,$482.7,$477.17
09/30/2020,$473,229,$476.05,$476.05,$465
09/29/2020,$480.475,528,$481.05,$481.91,$476.05
09/28/2020,$473.66,566,$471.525,$475,$470.04
09/25/2020,$471.56,312,$461.8,$471.56,$458.12
09/24/2020,$470.04,509,$467.9,$475,$465.52
09/23/2020,$463.84,1766,$466.5,$471.5,$463.84
09/22/2020,$464.5,403,$465,$466.65,$458.85
09/21/2020,$470.73,1464,$473.35,$473.35,$462.04
09/18/2020,$495.71,729,$496,$496.3,$485.87
09/17/2020,$495.79,359,$501.17,$501.65,$495.79
09/16/2020,$503.44,409,$501.99,$506.68,$499.07
09/15/2020,$502.05,447,$501.95,$507.66,$500.1
09/14/2020,$498.96,1016,$497.05,$503.44,$495.64
09/11/2020,$493,1439,$491.45,$498.5,$486.25
09/10/2020,$477.96,486,$480,$484.98,$474.5
09/09/2020,$480.36,474,$479.36,$482.26,$475.9
09/08/2020,$472.13,735,$474.55,$480.66,$469.9
09/04/2020,$475.04,647,$481.9,$484.5,$470.04
09/03/2020,$479.075,3624,$490.05,$491.41,$479
